3	열	수사 아님 — '열람 순서'의 일부. 수량 표현이 아니다	열람 순서: A·B·E는 임원·MBA 공용
17	세 개	일치: 3 = 표4·표5·표6 (856을 보고하는 회귀표)	회귀표 세 개(표 4·표 5·표 6)의 그룹수는 856
21	여섯	일치: 6 = 리뷰수·답변수·답변속도·고객평점하락·누적리뷰수·코로나확진자	변수 여섯 — 핵심 넷 + 통제 둘
21	넷	일치: 4 = 답변수·답변속도·고객평점하락 + 종속 리뷰수 (핵심 넷)	핵심 넷 + 통제 둘
21	둘	일치: 2 = 누적리뷰수·코로나확진자	핵심 넷 + 통제 둘
22	넷	일치: 4 = 성공·적극성·적시성·평판 하락 (원고 §4의 셈)	본문 §4는 측정된 것을 넷으로 셈한다
22	둘	일치: 2 = 누적리뷰수·코로나확진자	아래 표에는 통제 둘
27	두 가지	일치: 2 = 4.1.1 본문 표기 + 표 1 설명 표기	이변량 0/1 (정의 두 가지 — 아래)
30	두 표	일치: 2 = 4.1.1 본문 · 표 1 설명	고객평점하락의 정의 — 원고에 두 표기가 있다
34	두 표	일치: 2 = 표 1 · 본문 4.1.1	코로나확진자 — 원고에 두 표기가 있다
49	세 표	일치: 3 = 표1·표2·표3 (Exhibit E 수록분)	이 세 표에는 유의도 별표가 없다
70	열	수사 아님 — '행·열 번호'의 일부. 수량 표현이 아니다	표 3의 행·열 번호(1, 3, 4, 5, 6, 7)
